date,close,high,low,open,volume
1992-01-01,3223.399902,3299.189941,3139.310059,3152.100098,561160000
1992-02-01,3267.699951,3293.379883,3207.959961,3223.399902,411150000
1992-03-01,3235.5,3299.639893,3188.280029,3267.699951,402410000
1992-04-01,3359.100098,3366.5,3161.22998,3235.5,458300000
1992-05-01,3396.899902,3440.669922,3324.02002,3359.100098,388240000
1992-06-01,3318.5,3422.280029,3254.050049,3396.899902,475360000
1992-07-01,3393.800049,3402.959961,3266.530029,3318.800049,449770000
1992-08-01,3257.399902,3399.98999,3207.100098,3393.800049,363380000
1992-09-01,3271.699951,3376.48999,3242.76001,3257.399902,436570000
1992-10-01,3226.300049,3280.850098,3095.790039,3271.699951,530760000
1992-11-01,3305.199951,3308.409912,3184.669922,3226.300049,452340000
1992-12-01,3301.110107,3352.709961,3248.159912,3305.199951,510650000
1993-01-01,3310,3320.830078,3231.949951,3301.100098,620010000
1993-02-01,3370.810059,3456.72998,3266.800049,3310,577510000
1993-03-01,3435.110107,3482.120117,3343.26001,3370.800049,586100000
1993-04-01,3427.550049,3481.580078,3363.790039,3435.100098,645990000
1993-05-01,3527.429932,3565.070068,3415.330078,3439.399902,472660000
1993-06-01,3516.080078,3569.780029,3462.659912,3527.399902,461140000
1993-07-01,3539.469971,3583.5,3449.899902,3516.100098,500980000
1993-08-01,3651.25,3663.830078,3536.959961,3539.5,526610000
1993-09-01,3555.120117,3655.719971,3507.060059,3651.300049,487790000
1993-10-01,3680.590088,3708.820068,3553.719971,3555.100098,529130000
1993-11-01,3683.949951,3717.76001,3600.669922,3680.600098,576680000
1993-12-01,3754.090088,3799.919922,3685.060059,3685.100098,517250000
1994-01-01,3978.360107,3985.959961,3742.810059,3754.100098,619530000
1994-02-01,3832.02002,3982.02002,3632.02002,3978.399902,508560000
1994-03-01,3635.959961,3895.939941,3559.090088,3832,667490000
1994-04-01,3681.689941,3710.840088,3552.469971,3634.5,566680000
1994-05-01,3758.370117,3772.790039,3623.100098,3681.699951,533470000
1994-06-01,3624.959961,3823.389893,3610.399902,3758.399902,554560000
1994-07-01,3764.5,3770,3623.02002,3625,450610000
1994-08-01,3913.419922,3939.320068,3736.330078,3764.5,625170000
1994-09-01,3843.189941,3992.639893,3820.310059,3913.100098,591450000
1994-10-01,3908.120117,3949.840088,3747.969971,3843.199951,636250000
1994-11-01,3739.22998,3907.780029,3638.629883,3907.780029,613270000
1994-12-01,3834.439941,3866.399902,3655.110107,3739.199951,543610000
1995-01-01,3843.860107,3936.719971,3817.26001,3834.399902,615760000
1995-02-01,4011.050049,4021.22998,3831.409912,3843.899902,576090000
1995-03-01,4157.689941,4198.839844,3945.689941,4011.100098,702540000
1995-04-01,4321.27002,4328.529785,4155.959961,4157.700195,547570000
1995-05-01,4465.140137,4465.140137,4301.560059,4321.299805,689940000
1995-06-01,4556.100098,4593.100098,4406.689941,4465.100098,641520000
1995-07-01,4708.470215,4747.209961,4551.25,4556.100098,665580000
1995-08-01,4610.560059,4754.959961,4570.850098,4708.5,623030000
1995-09-01,4789.080078,4816.540039,4607.029785,4610.200195,707190000
1995-10-01,4755.47998,4816.899902,4659.740234,4789.799805,685570000
1995-11-01,5074.490234,5118.930176,4744.640137,4753.700195,598970000
1995-12-01,5117.120117,5235.620117,5051.72998,5075.600098,601160000
